epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
67,943.28,0.98066,0.61609,1.21179,0.04169,0.95047,0.95704,0.983,0.75985,0.8736,0.53436,1.11891,0.0209,0.000886404,0.000886404,0.000886404
68,957.426,0.99113,0.60147,1.17266,0.04516,0.96052,0.94514,0.98533,0.74514,0.90907,0.54912,1.14231,0.02028,0.000883079,0.000883079,0.000883079
69,971.777,1.06293,0.63857,1.18856,0.04626,0.95108,0.92768,0.97837,0.70508,0.92367,0.63847,1.16379,0.02423,0.000879713,0.000879713,0.000879713
70,986.239,1.02514,0.60959,1.13657,0.04194,0.96767,0.92768,0.98135,0.70467,0.91409,0.58035,1.15733,0.02028,0.000876305,0.000876305,0.000876305
71,1000.6,0.9718,0.58883,1.15458,0.04433,0.9613,0.93267,0.98423,0.74523,0.92899,0.54874,1.15764,0.01929,0.000872857,0.000872857,0.000872857
72,1014.67,1.00792,0.59549,1.15921,0.03812,0.9619,0.94451,0.98326,0.73128,0.95987,0.55443,1.17838,0.02136,0.000869368,0.000869368,0.000869368
73,1028.85,0.98038,0.58304,1.11985,0.03971,0.96102,0.9222,0.97719,0.72329,0.9455,0.61205,1.17265,0.02506,0.000865839,0.000865839,0.000865839
74,1043.3,0.96605,0.58169,1.13681,0.03964,0.93631,0.92768,0.97154,0.71164,0.94579,0.67874,1.18768,0.02753,0.000862271,0.000862271,0.000862271
75,1057.41,0.98543,0.5999,1.16018,0.03631,0.94228,0.93516,0.97482,0.70805,0.93202,0.65462,1.17778,0.02508,0.000858664,0.000858664,0.000858664
76,1071.83,0.97533,0.59656,1.16335,0.03876,0.95956,0.94686,0.98361,0.72527,0.94392,0.56596,1.17807,0.0214,0.000855018,0.000855018,0.000855018
77,1085.99,1.00243,0.59392,1.15561,0.04451,0.95568,0.95012,0.98571,0.70977,0.89765,0.53668,1.12735,0.0206,0.000851333,0.000851333,0.000851333
78,1100.36,0.92599,0.56072,1.13882,0.03549,0.95735,0.95511,0.98428,0.73736,0.93639,0.5522,1.15225,0.0222,0.000847611,0.000847611,0.000847611
79,1114.54,0.96604,0.58878,1.17194,0.03775,0.95456,0.93766,0.98062,0.70492,0.9403,0.59728,1.16168,0.0254,0.000843851,0.000843851,0.000843851
80,1128.53,0.96196,0.57564,1.14478,0.04056,0.95436,0.93855,0.97928,0.72122,0.95893,0.58886,1.17257,0.02642,0.000840054,0.000840054,0.000840054
81,1143.06,0.97986,0.57904,1.16866,0.04666,0.96907,0.93765,0.98497,0.74426,0.93801,0.53538,1.14133,0.02373,0.00083622,0.00083622,0.00083622
