epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
48,683.222,1.07166,0.7967,0.01124,0.04802,0.91773,0.89014,0.9531,0.69221,1.05966,0.52238,0.01554,0.02012,0.00110317,0.00110317,0.00110317
49,696.14,1.03966,0.80161,0.01173,0.04498,0.903,0.90524,0.95385,0.72445,0.96161,0.48992,0.01569,0.01778,0.00107216,0.00107216,0.00107216
50,709.14,1.05122,0.78705,0.01098,0.04394,0.8921,0.90274,0.95873,0.73566,0.9301,0.48016,0.01586,0.0185,0.0010411,0.0010411,0.0010411
51,722.096,1.02119,0.78426,0.01196,0.03824,0.8964,0.90629,0.95595,0.71819,0.98998,0.49704,0.01584,0.02016,0.00101,0.00101,0.00101
52,734.94,1.08244,0.79616,0.01224,0.03547,0.90329,0.88508,0.95733,0.70625,1.03238,0.50402,0.01586,0.02143,0.000978903,0.000978903,0.000978903
53,747.958,0.99359,0.72066,0.01259,0.03723,0.91842,0.89839,0.95839,0.73502,0.95217,0.48576,0.01609,0.02156,0.000947837,0.000947837,0.000947837
54,761.026,1.04552,0.74356,0.012,0.03938,0.91277,0.91334,0.96212,0.75365,0.89843,0.45636,0.01634,0.02148,0.000916833,0.000916833,0.000916833
55,773.699,1.0285,0.68749,0.01171,0.03388,0.9,0.9202,0.96077,0.74358,0.93595,0.46652,0.01619,0.02225,0.00088592,0.00088592,0.00088592
56,786.934,1.01101,0.69369,0.0106,0.03875,0.89093,0.91022,0.96178,0.7267,0.97926,0.48287,0.01595,0.02105,0.00085513,0.00085513,0.00085513
57,799.884,1.02729,0.75408,0.01145,0.04352,0.89769,0.91903,0.95982,0.72918,0.98048,0.4743,0.01582,0.02162,0.000824492,0.000824492,0.000824492
58,813.189,0.99002,0.68843,0.0106,0.03949,0.90992,0.932,0.9631,0.74889,0.91631,0.45384,0.0159,0.01894,0.000794038,0.000794038,0.000794038
59,826.252,0.97996,0.67015,0.01163,0.03653,0.91569,0.92089,0.96414,0.75747,0.89128,0.4458,0.01601,0.01929,0.000763797,0.000763797,0.000763797
60,839.228,1.00694,0.68812,0.0118,0.03937,0.89633,0.91521,0.96334,0.74086,0.94048,0.46037,0.01593,0.02183,0.000733799,0.000733799,0.000733799
61,852.525,0.97602,0.70055,0.01148,0.03698,0.91602,0.89277,0.96224,0.71041,1.03932,0.4949,0.01578,0.02712,0.000704073,0.000704073,0.000704073
62,865.672,0.99465,0.68746,0.01195,0.0401,0.90138,0.90025,0.96125,0.71285,1.04056,0.48248,0.01583,0.02635,0.000674649,0.000674649,0.000674649
63,878.617,1.00945,0.68448,0.01154,0.0426,0.92082,0.90274,0.96337,0.74676,0.91688,0.45069,0.01618,0.02259,0.000645557,0.000645557,0.000645557
64,891.649,1.0018,0.64697,0.01172,0.04033,0.91227,0.91521,0.96147,0.75407,0.90486,0.45358,0.01627,0.02183,0.000616824,0.000616824,0.000616824
65,905.316,0.97872,0.67263,0.01127,0.03955,0.8916,0.92301,0.95986,0.7336,0.96086,0.46559,0.01616,0.02346,0.000588479,0.000588479,0.000588479
66,918.395,0.97131,0.6583,0.01158,0.03826,0.90138,0.9202,0.96038,0.72069,0.99291,0.47448,0.01605,0.02744,0.000560549,0.000560549,0.000560549
67,931.798,0.96598,0.66565,0.01234,0.03324,0.90756,0.90586,0.96201,0.7275,0.96948,0.46738,0.01609,0.0265,0.000533064,0.000533064,0.000533064
68,945.036,1.00261,0.62158,0.01196,0.0414,0.89616,0.93516,0.96292,0.73732,0.94868,0.4475,0.01615,0.02371,0.000506049,0.000506049,0.000506049
69,958.751,1.00887,0.64116,0.01097,0.04186,0.88785,0.93766,0.96322,0.74277,0.93742,0.44611,0.01607,0.02136,0.000479531,0.000479531,0.000479531
70,972.711,0.99229,0.63634,0.01049,0.0374,0.89989,0.91771,0.96444,0.7348,0.96389,0.45763,0.01587,0.01715,0.000453537,0.000453537,0.000453537
71,986.331,1.00362,0.64624,0.01178,0.04045,0.91876,0.90247,0.96368,0.72995,0.97791,0.46339,0.01586,0.01671,0.000428093,0.000428093,0.000428093
72,999.6,0.97515,0.62946,0.01127,0.0351,0.93235,0.89366,0.96425,0.73312,0.97238,0.45555,0.01591,0.01696,0.000403222,0.000403222,0.000403222
73,1013.05,0.96484,0.61035,0.01087,0.03588,0.91435,0.90516,0.96461,0.73702,0.95651,0.45723,0.01596,0.01803,0.00037895,0.00037895,0.00037895
74,1026.85,0.95534,0.59723,0.01114,0.03168,0.90323,0.92269,0.96443,0.73592,0.95827,0.46185,0.01597,0.02,0.000355301,0.000355301,0.000355301
75,1040.37,0.96289,0.60297,0.0115,0.03673,0.91898,0.90773,0.96464,0.73396,0.96359,0.45868,0.01599,0.02115,0.000332298,0.000332298,0.000332298
76,1053.98,0.91813,0.61528,0.01234,0.03298,0.91379,0.92269,0.96539,0.742,0.94096,0.45199,0.0161,0.02174,0.000309964,0.000309964,0.000309964
77,1067.63,0.96104,0.60436,0.01149,0.03656,0.91483,0.91074,0.9658,0.74583,0.9329,0.4429,0.01612,0.0218,0.000288321,0.000288321,0.000288321
78,1081.12,0.9043,0.57654,0.01267,0.03232,0.92168,0.90274,0.96551,0.74324,0.92999,0.44631,0.0161,0.02116,0.00026739,0.00026739,0.00026739
79,1095.34,0.94729,0.60693,0.01199,0.0342,0.92791,0.89526,0.96484,0.7405,0.93726,0.44708,0.01608,0.02037,0.000247192,0.000247192,0.000247192
